
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Accusefive","愛人錯過"
2,"404 CLUB","Cinderella"
3,"Hngle & Ari","Không Buông"
4,"Ele Yan & VaVaYanqi Mao","祝你爱我到天荒地老"
5,"Ducth Music","Lệ Ngang Trời (feat. A Tuan) [Ducth x ThahTrung Remix]"
6,"Xuân Hùng Music","Ánh Trăng Nói Hộ Lòng Tôi (Xuân Hùng - Nữ version)"
7,"Shayda","Love My Friend"
8,"Evangeline","離開我的依賴"
9,"MIN","Chẳng Phải Tình Đầu Sao Đau Đến Thế"
10,"GamBoo Music","E là đôn chề (Nguyn Zap Remix)"
11,"Low G & JustaTee","In Love"
12,"Quang Đăng Trần","Anh Đã Không Biết Cách Yêu Em"
13,"Mochiii","Tuyết Yêu Thương (Acv Remix #2)"
14,"cassö, RAYE & D-Block Europe","Prada"
15,"Dương Domic","Không Thời Gian"
16,"Huyền Tranng","Em Thua Cô Ta (Acv Remix)"
17,"Wendy Thảo","Hẹn Hò Nhưng Không Yêu (Remix)"
18,"Hiya & MeMe Media","Giấc Mơ Tình Cờ (HyChun x Đông x Goat Music Remix)"
19,"EMIN & JONY","Камин"
20,"Young Captain","哪里都是你"
21,"TRO-Music","ĐÀ LẠT CÒN MƯA KHÔNG EM"
22,"Dynamicduo & DJ Premier","Aeao"
23,"Taylor Swift","The Fate of Ophelia"
24,"伯爵Johnny & Annie","伯虎说 (卡点版)"
25,"Don't call me sister","不该用情 (DJ女声版伴奏) [DJ女声版伴奏]"
26,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
27,"GamBoo Music","E là đôn chề x Không bằng (Nguyn Zap Remix)"
28,"Eternxlkz","Montagem Nada Tropica"
29,"Ken Quach","Say Một Đời Vì Em"
30,"Air Media","Địa Ngục Trần Gian (Thazh x Đông Remix)"
31,"Michita","CRY FOR ME featuring AMI"
32,"Hannie","Em Không Cần"
33,"Mc Staff & Nakama","Mente Má"
34,"庄淇玟29","昨夜风今宵月"
35,"Táo","Kịch Bản (feat. Hoàng Yến Chibi)"
36,"AOA","Miniskirt (Karaoke Version)"
37,"한의노래","디지털 방랑자 Digital Nomad"
38,"NIGHTX!","Japa Acelerada"
39,"Ed Sheeran","Photograph"
40,"Juky San","NGƯỜI ĐẦU TIÊN"
41,"Lê Bảo Bình","Chẳng Hợp Nhau Đâu (Thereon Remix)"
42,"2hollis","poster boy"
43,"CORTIS","GO!"
44,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
45,"Lana Del Rey","Cinnamon Girl"
46,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
47,"Air Media","Địa Ngục Trần Gian (SpeedUp) [Air Remix]"
48,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
49,"Nguyễn Vĩ","Có Mình Và Ta (LD Remix)"
