
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Urban Chords","I'm a mess (Choir Version)"
2,"Scotts Maphuma","Sya'Waver (feat. Uncool MC, Mluusician, Dlala Regal & Shaun Stylist)"
3,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
4,"Yo Maps","Aleteka"
5,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
6,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
7,"Nez Long, Xaven & Yo Maps","Aye"
8,"Khadeair","Magumba (feat. Peekay Mzee & Kaytah)"
9,"Goon Flavour, Master KG & Naledi Aphiwe","Mina Nawe"
10,"Ayra Starr & Rema","Who’s Dat Girl"
11,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
12,"brux XTN","Paid to Exist"
13,"JAZZWRLD, MaWhoo, Thukuthela & GL_Ceejay","Uzizwa Kanjan"
14,"Sqiniseko SqinQ","Ngakthanda wena (feat. Bontle Kgabi)"
15,"Ntombemhlope","MAMA (feat. Tee-s Papah)"
16,"Yo Maps & Stonebwoy","I Wanna Eat"
17,"JAZZWRLD, GL_Ceejay & Thukuthela","Tholukuthi (Clap Song) [feat. MaWhoo]"
18,"Ciza, Jazzworx & Thukuthela","Isaka (6am)"
19,"Yo Maps","Lwambo"
20,"Macky 2","Soilange"
21,"Kedjevara","Ça fait mal"
22,"DJ Maphorisa, Xduppy & Kabza De Small","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)"
23,"Ice Prince","Oleku (feat. Brymo)"
24,"DJ Maphorisa, Xduppy & Scotts Maphuma","Ngibolekeni (feat. Sean 1401, Leemckrazy, Blxckie, Pcee, Madumane & Kabelo Sings)"
25,"Dizo West","Unruly Freestyle"
26,"Driemo Mw","Magini"
27,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
28,"lordkez","Aweh"
